Index,photo,no_of_gaps,gap_area,gap_fraction
99,MDLRP05_4_xmp_e.jpg,434,7227737,92.836
100,MDLRP06_1_xmp_e.jpg,5651,3030146,38.92
101,MDLRP06_2_xmp_e.jpg,2440,6804575,87.401
102,MDLRP06_3_xmp_e.jpg,4380,4681911,60.136
103,MDLRP06_4_xmp_e.jpg,3780,6305943,80.996
104,MDLRP07_1_xmp_e.jpg,1302,7427685,95.404
105,MDLRP07_2_xmp_e.jpg,1461,7203096,92.52
106,MDLRP07_3_xmp_e.jpg,2725,5920494,76.045
107,MDLRP07_4_xmp_e.jpg,1543,6140072,78.866
108,MDLRP08_1_xmp_e.jpg,1050,7169239,92.085
109,MDLRP08_2_xmp_e.jpg,929,7202637,92.514
110,MDLRP08_3_xmp_e.jpg,1054,7091701,91.089
111,MDLRP08_4_xmp_e.jpg,2863,5769937,74.112
112,MDLRP09_1_xmp_e.jpg,1055,6789591,87.208
113,MDLRP09_2_xmp_e.jpg,1792,5984914,76.873
114,MDLRP09_3_xmp_e.jpg,1009,6841836,87.879
115,MDLRP09_4_xmp_e.jpg,1276,6692867,85.966
116,MDLRP10_1_xmp_e.jpg,4132,4746534,60.967
117,MDLRP10_2_xmp_e.jpg,1510,6956837,89.357
118,MDLRP10_3_xmp_e.jpg,3344,6350859,81.573
119,MDLRP10_4_xmp_e.jpg,2543,5561469,71.434
120,MDLUC01_1_xmp_e.jpg,4059,5190719,66.672
121,MDLUC01_2_xmp_e.jpg,8762,2910938,37.389
122,MDLUC01_3_xmp_e.jpg,4810,5121010,65.776
123,MDLUC01_4_xmp_e.jpg,7181,4017635,51.604
124,MDLUC02_1_xmp_e.jpg,7697,2193184,28.17
125,MDLUC02_2_xmp_e.jpg,6005,4997987,64.196
126,MDLUC02_3_xmp_e.jpg,8514,2238122,28.747
127,MDLUC02_4_xmp_e.jpg,9202,2826356,36.303
128,MDLUC03_1_xmp_e.jpg,7769,1641029,21.078
129,MDLUC03_2_xmp_e.jpg,3072,5661190,72.715
130,MDLUC03_3_xmp_e.jpg,5157,4809147,61.771
131,MDLUC03_4_xmp_e.jpg,8700,2341365,30.073
132,MDLUC04_1_xmp_e.jpg,6457,4751254,61.027
133,MDLUC04_2_xmp_e.jpg,4083,4518380,58.036
134,MDLUC04_3_xmp_e.jpg,5825,4508252,57.906
135,MDLUC04_4_xmp_e.jpg,5354,4728985,60.741
136,MDLUC05_1_xmp_e.jpg,9747,1746374,22.431
137,MDLUC05_2_xmp_e.jpg,7999,2638458,33.889
138,MDLUC05_3_xmp_e.jpg,5377,4735891,60.83
139,MDLUC05_4_xmp_e.jpg,10516,2470474,31.732
140,MDLUC06_1_xmp_e.jpg,4783,4337359,55.711
141,MDLUC06_2_xmp_e.jpg,5439,3766310,48.376
142,MDLUC06_3_xmp_e.jpg,4307,5012710,64.385
143,MDLUC06_4_xmp_e.jpg,5541,2463476,31.642
144,MDLUC07_1_xmp_e.jpg,10804,1819290,23.368
145,MDLUC07_2_xmp_e.jpg,7458,4749263,61.002
146,MDLUC07_3_xmp_e.jpg,1940,5549277,71.277
147,MDLUC07_4_xmp_e.jpg,3311,5497022,70.606
148,MDLUC08_1_xmp_e.jpg,4060,4885065,62.746
149,MDLUC08_2_xmp_e.jpg,2648,5896607,75.739
150,MDLUC08_3_xmp_e.jpg,8683,1039905,13.357
151,MDLUC08_4_xmp_e.jpg,4193,4647412,59.693
152,MDLUC09_1_xmp_e.jpg,7441,4076831,52.365
153,MDLUC09_2_xmp_e.jpg,9645,2044037,26.254
154,MDLUC09_3_xmp_e.jpg,7706,3198047,41.077
155,MDLUC09_4_xmp_e.jpg,8460,4127234,53.012
156,MDLUC10_1_xmp_e.jpg,10934,2278086,29.261
157,MDLUC10_2_xmp_e.jpg,9193,2570603,33.018
158,MDLUC10_3_xmp_e.jpg,6185,4237126,54.423
159,MDLUC10_4_xmp_e.jpg,3426,5474323,70.315
