Index,photo,no_of_gaps,gap_area,gap_fraction
100,MAWRP06_1_xmp_e.jpg,5135,1650758,22.299
101,MAWRP06_2_xmp_e.jpg,2022,6861514,92.689
102,MAWRP06_3_xmp_e.jpg,2670,6561856,88.641
103,MAWRP06_4_xmp_e.jpg,1508,6778673,91.570
104,MAWRP07_1_xmp_e.jpg,539,6885220,93.009
105,MAWRP07_2_xmp_e.jpg,669,6484388,87.594
106,MAWRP07_3_xmp_e.jpg,1747,6529991,88.210
107,MAWRP08_1_xmp_e.jpg,523,6901434,93.228
108,MAWRP08_2_xmp_e.jpg,511,6897359,93.173
109,MAWRP08_3_xmp_e.jpg,526,6886340,93.024
110,MAWRP08_4_xmp_e.jpg,503,6934580,93.676
111,MAWRP09_1_xmp_e.jpg,462,7014267,94.752
112,MAWRP09_2_xmp_e.jpg,370,7015557,94.770
113,MAWRP09_3_xmp_e.jpg,239,6999632,94.554
114,MAWRP09_4_xmp_e.jpg,579,7002140,94.588
115,MAWRP10_1_xmp_e.jpg,1186,6060435,81.867
116,MAWRP10_2_xmp_e.jpg,3504,4695855,63.434
117,MAWRP10_3_xmp_e.jpg,817,6324052,85.428
118,MAWRP10_4_xmp_e.jpg,811,6474725,87.464
119,MAWUC01_1_xmp_e.jpg,2412,5367409,72.506
120,MAWUC01_2_xmp_e.jpg,1711,5634592,76.115
121,MAWUC01_3_xmp_e.jpg,2663,5067112,68.449
122,MAWUC01_4_xmp_e.jpg,3587,4224937,57.073
123,MAWUC02_1_xmp_e.jpg,4073,4174889,56.396
124,MAWUC02_2_xmp_e.jpg,6132,2948215,39.826
125,MAWUC02_3_xmp_e.jpg,3018,5445788,73.564
126,MAWUC02_4_xmp_e.jpg,6550,4227090,57.102
127,MAWUC03_1_xmp_e.jpg,2089,4285261,57.887
128,MAWUC03_2_xmp_e.jpg,1411,6034818,81.521
129,MAWUC03_3_xmp_e.jpg,1535,6407674,86.558
130,MAWUC03_4_xmp_e.jpg,2572,6002991,81.091
131,MAWUC04_1_xmp_e.jpg,1762,5087226,68.721
132,MAWUC04_2_xmp_e.jpg,864,6128931,82.793
133,MAWUC04_3_xmp_e.jpg,3764,4864091,65.707
134,MAWUC04_4_xmp_e.jpg,1925,5738411,77.517
135,MAWUC05_1_xmp_e.jpg,2437,2101010,28.381
136,MAWUC05_2_xmp_e.jpg,6993,2453078,33.137
137,MAWUC05_3_xmp_e.jpg,1236,4751357,64.184
138,MAWUC05_4_xmp_e.jpg,3242,4862040,65.679
139,MAWUC06_1_xmp_e.jpg,1814,4636751,62.636
140,MAWUC06_2_xmp_e.jpg,4043,3945975,53.304
141,MAWUC06_3_xmp_e.jpg,1399,5348753,72.254
142,MAWUC06_4_xmp_e.jpg,2891,5204817,70.309
143,MAWUC07_1_xmp_e.jpg,3827,4022532,54.338
144,MAWUC07_2_xmp_e.jpg,2320,5116347,69.114
145,MAWUC07_3_xmp_e.jpg,6920,2992658,40.426
146,MAWUC07_4_xmp_e.jpg,6495,4169389,56.322
147,MAWUC08_1_xmp_e.jpg,714,5786872,78.172
148,MAWUC08_2_xmp_e.jpg,2507,4804235,64.898
149,MAWUC08_3_xmp_e.jpg,826,5948355,80.353
150,MAWUC08_4_xmp_e.jpg,1581,4372892,59.071
151,MAWUC09_1_xmp_e.jpg,2063,5740231,77.542
152,MAWUC09_2_xmp_e.jpg,2872,5198342,70.222
153,MAWUC09_3_xmp_e.jpg,1632,5927398,80.070
154,MAWUC09_4_xmp_e.jpg,1737,5846109,78.972
155,MAWUC10_1_xmp_e.jpg,933,5993193,80.959
156,MAWUC10_2_xmp_e.jpg,468,5836330,78.840
157,MAWUC10_3_xmp_e.jpg,619,6347401,85.744
158,MAWUC10_4_xmp_e.jpg,1303,5857938,79.132
