Index,photo,no_of_gaps,gap_area,gap_fraction
100,MGZRP06_1_xmp_e.jpg,122,7142494,98.688
101,MGZRP06_2_xmp_e.jpg,52,7147906,98.763
102,MGZRP06_3_xmp_e.jpg,83,7217258,99.721
103,MGZRP06_4_xmp_e.jpg,161,7093644,98.013
104,MGZRP07_1_xmp_e.jpg,50,7174620,99.132
105,MGZRP07_2_xmp_e.jpg,485,7128693,98.498
106,MGZRP07_3_xmp_e.jpg,215,7146742,98.747
107,MGZRP07_4_xmp_e.jpg,106,7198125,99.457
108,MGZRP08_1_xmp_e.jpg,207,7164732,98.996
109,MGZRP08_2_xmp_e.jpg,150,7201619,99.505
110,MGZRP08_3_xmp_e.jpg,133,7156462,98.881
111,MGZRP08_4_xmp_e.jpg,62,7171013,99.082
112,MGZRP09_1_xmp_e.jpg,84,7167360,99.032
113,MGZRP09_2_xmp_e.jpg,116,7103929,98.155
114,MGZRP09_3_xmp_e.jpg,85,7073201,97.731
115,MGZRP09_4_xmp_e.jpg,178,7157487,98.895
116,MGZRP10_1_xmp_e.jpg,807,6845571,94.586
117,MGZRP10_2_xmp_e.jpg,333,6936114,95.837
118,MGZRP10_3_xmp_e.jpg,335,6896091,95.284
119,MGZRP10_4_xmp_e.jpg,1944,6670067,92.161
120,MGZUC01_1_xmp_e.jpg,9765,2106686,29.108
121,MGZUC01_2_xmp_e.jpg,8724,2725938,37.664
122,MGZUC01_3_xmp_e.jpg,9217,2710171,37.447
123,MGZUC01_4_xmp_e.jpg,10234,1890035,26.115
124,MGZUC02_1_xmp_e.jpg,1891,2016290,27.859
125,MGZUC02_2_xmp_e.jpg,4023,3042828,42.043
126,MGZUC02_3_xmp_e.jpg,6913,841864,11.632
127,MGZUC02_4_xmp_e.jpg,3519,950507,13.133
128,MGZUC03_1_xmp_e.jpg,6370,2650705,36.625
129,MGZUC03_2_xmp_e.jpg,2044,4927113,68.078
130,MGZUC03_3_xmp_e.jpg,8954,2968664,41.018
131,MGZUC03_4_xmp_e.jpg,8287,2077274,28.702
132,MGZUC04_1_xmp_e.jpg,421,5782263,79.894
133,MGZUC04_2_xmp_e.jpg,563,5567092,76.921
134,MGZUC04_3_xmp_e.jpg,821,5133207,70.926
135,MGZUC04_4_xmp_e.jpg,459,5433940,75.081
136,MGZUC05_1_xmp_e.jpg,600,6589277,91.044
137,MGZUC05_2_xmp_e.jpg,425,6713601,92.762
138,MGZUC05_3_xmp_e.jpg,1928,5370147,74.200
139,MGZUC05_4_xmp_e.jpg,1344,6124319,84.620
140,MGZUC06_1_xmp_e.jpg,1829,5234891,72.331
141,MGZUC06_2_xmp_e.jpg,1553,5249661,72.535
142,MGZUC06_3_xmp_e.jpg,1335,5835958,80.636
143,MGZUC06_4_xmp_e.jpg,1990,4445220,61.420
144,MGZUC07_1_xmp_e.jpg,2270,5415123,74.821
145,MGZUC07_2_xmp_e.jpg,2247,3390008,46.840
146,MGZUC07_3_xmp_e.jpg,3172,5048343,69.753
147,MGZUC07_4_xmp_e.jpg,2979,5359375,74.051
148,MGZUC08_1_xmp_e.jpg,3567,2462566,34.025
149,MGZUC08_2_xmp_e.jpg,3358,3629268,50.146
150,MGZUC08_3_xmp_e.jpg,2383,4966320,68.620
151,MGZUC08_4_xmp_e.jpg,1455,4988371,68.925
152,MGZUC09_1_xmp_e.jpg,378,6593024,91.096
153,MGZUC09_2_xmp_e.jpg,373,6615326,91.404
154,MGZUC09_3_xmp_e.jpg,946,6457667,89.226
155,MGZUC09_4_xmp_e.jpg,420,6253517,86.405
156,MGZUC10_1_xmp_e.jpg,2843,3814320,52.703
157,MGZUC10_2_xmp_e.jpg,1103,6021465,83.199
158,MGZUC10_3_xmp_e.jpg,2193,4249104,58.710
159,MGZUC10_4_xmp_e.jpg,3797,919841,12.709
